EJKFPM8NFNPPN8K3  16 GiB    4   t3.xlarge     Intel Skylake E5 2686 v5 (2.5 GHz)
F8Q3FBUSDFAYFW2F  15 GiB    4   m3.xlarge     Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)
FD8FGSQDGNM69YJF  15 GiB    4   m3.xlarge     Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)
KZ25CYAW7ZZ6SN5U  16 GiB    4   t3.xlarge     Intel Skylake E5 2686 v5 (2.5 GHz)
KZA72NQU2S3QBXXT  16 GiB    4   m4.xlarge     Intel Xeon E5-2676 v3 (Haswell)
Q6FFSFPJYR84UFKC  16 GiB    4   t2.xlarge     Intel Xeon Family
R2292NDJY8MEG6E9  16 GiB    4   m4.xlarge     Intel Xeon E5-2676 v3 (Haswell)
RKVEJUJU9XMQKRKT  16 GiB    4   m5d.xlarge    Intel Xeon Platinum 8175
XEQNC6Z8DAVU2D8H  16 GiB    4   t3.xlarge     Intel Skylake E5 2686 v5 (2.5 GHz)
4K2RDTDA5QDSVF79  32 GiB    8   m5d.2xlarge   Intel Xeon Platinum 8175
5FF8EWYB29V3BMFR  32 GiB    8   m4.2xlarge    Intel Xeon E5-2676 v3 (Haswell)
79M3634SCM5Q9T3J  32 GiB    8   m5.2xlarge    Intel Xeon Platinum 8175
7C6VBA89CA4WU3BC  32 GiB    8   m4.2xlarge    Intel Xeon E5-2676 v3 (Haswell)
7EFZWDA5CSAB85BF  32 GiB    8   t2.2xlarge    Intel Xeon Family
7X63DAK78VTPCW8F  32 GiB    8   t3.2xlarge    Intel Skylake E5 2686 v5 (2.5 GHz)
BQGVWHYQ8YK6UNK7  32 GiB    8   t3.2xlarge    Intel Skylake E5 2686 v5 (2.5 GHz)
CDQ3VSAVRNG39R6V  32 GiB    8   m4.2xlarge    Intel Xeon E5-2676 v3 (Haswell)
CNP4PV4Y2J8YZVAR  30 GiB    8   m3.2xlarge    Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)
DWFM7CT7HR9PKX7G  32 GiB    8   m5d.2xlarge   Intel Xeon Platinum 8175
ETXT8WTMGCS677FW  32 GiB    8   m5d.2xlarge   Intel Xeon Platinum 8175
GAE4UTCSMAJWBBFJ  30 GiB    8   m3.2xlarge    Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)
KUDY5KG95ENTRCUZ  32 GiB    8   t2.2xlarge    Intel Xeon Family
N5D4RSFRNZ3SRTJ3  32 GiB    8   m5.2xlarge    Intel Xeon Platinum 8175
QJXTGC5R5C4GXQJZ  32 GiB    8   t2.2xlarge    Intel Xeon Family
SKWTF99DT82GUYKP  32 GiB    8   m5.2xlarge    Intel Xeon Platinum 8175
